usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,acceptedUsageKey,is_alternative,verbatim_name,verbatim_index
3093022,Calycadenia micrantha R.L.Carr & G.D.Carr,Calycadenia micrantha,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Asterales,Asteraceae,Calycadenia,Calycadenia micrantha,6,7707728,220,414,3065,3092995,3093022,FALSE,Magnoliopsida,NA,FALSE,Calycadenia micrantha,486
3093007,Calycadenia spicata (Greene) Greene,Calycadenia spicata,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Asterales,Asteraceae,Calycadenia,Calycadenia spicata,6,7707728,220,414,3065,3092995,3093007,FALSE,Magnoliopsida,NA,FALSE,Calycadenia spicata,487
3093005,Calycadenia villosa DC.,Calycadenia villosa,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Asterales,Asteraceae,Calycadenia,Calycadenia villosa,6,7707728,220,414,3065,3092995,3093005,FALSE,Magnoliopsida,NA,FALSE,Calycadenia villosa,488
7659339,"Calyptridium arizonicum (J.T.Howell) M.G.Simpson, M.Silveira & Guilliams",Calyptridium arizonicum,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Caryophyllales,Montiaceae,Calyptridium,Calyptridium arizonicum,6,7707728,220,422,4898338,10699506,7659339,FALSE,Magnoliopsida,NA,FALSE,Calyptridium arizonicum,489
3084822,Calyptridium pulchellum (Eastw.) Hoover,Calyptridium pulchellum,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Caryophyllales,Montiaceae,Calyptridium,Calyptridium pulchellum,6,7707728,220,422,4898338,10699506,3084822,FALSE,Magnoliopsida,NA,FALSE,Calyptridium pulchellum,491
3084816,Calyptridium pygmaeum Parish ex Rydb.,Calyptridium pygmaeum,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Caryophyllales,Montiaceae,Calyptridium,Calyptridium pygmaeum,6,7707728,220,422,4898338,10699506,3084816,FALSE,Magnoliopsida,NA,FALSE,Calyptridium pygmaeum,492
3679677,Calystegia atriplicifolia subsp. buttensis Brummitt,Calystegia atriplicifolia buttensis,SUBSPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Solanales,Convolvulaceae,Calystegia,Calystegia atriplicifolia,6,7707728,220,1176,2389,2928418,3679678,FALSE,Magnoliopsida,NA,FALSE,Calystegia atriplicifolia buttensis,493
3679608,Calystegia collina subsp. oxyphylla Brummitt,Calystegia collina oxyphylla,SUBSPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Solanales,Convolvulaceae,Calystegia,Calystegia collina,6,7707728,220,1176,2389,2928418,2928442,FALSE,Magnoliopsida,NA,FALSE,Calystegia collina oxyphylla,494
3679599,Calystegia collina subsp. tridactylosa (Eastw.) Brummitt,Calystegia collina tridactylosa,SUBSPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Solanales,Convolvulaceae,Calystegia,Calystegia collina,6,7707728,220,1176,2389,2928418,2928442,FALSE,Magnoliopsida,NA,FALSE,Calystegia collina tridactylosa,495
8165537,Calystegia felix Provance & A.C.Sanders,Calystegia felix,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Solanales,Convolvulaceae,Calystegia,Calystegia felix,6,7707728,220,1176,2389,2928418,8165537,FALSE,Magnoliopsida,NA,FALSE,Calystegia felix,496
3679181,Calystegia malacophylla var. berryi (Eastw.) Brummitt,Calystegia malacophylla berryi,VARIETY,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Solanales,Convolvulaceae,Calystegia,Calystegia malacophylla,6,7707728,220,1176,2389,2928418,2928422,FALSE,Magnoliopsida,NA,FALSE,Calystegia malacophylla berryi,497
2928444,Calystegia peirsonii (Abrams) Brummitt,Calystegia peirsonii,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Solanales,Convolvulaceae,Calystegia,Calystegia peirsonii,6,7707728,220,1176,2389,2928418,2928444,FALSE,Magnoliopsida,NA,FALSE,Calystegia peirsonii,498
3678927,Calystegia purpurata subsp. saxicola (Eastw.) Brummitt,Calystegia purpurata saxicola,SUBSPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Solanales,Convolvulaceae,Calystegia,Calystegia purpurata,6,7707728,220,1176,2389,2928418,2928433,FALSE,Magnoliopsida,NA,FALSE,Calystegia purpurata saxicola,499
2928423,Calystegia stebbinsii Brummitt,Calystegia stebbinsii,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Solanales,Convolvulaceae,Calystegia,Calystegia stebbinsii,6,7707728,220,1176,2389,2928418,2928423,FALSE,Magnoliopsida,NA,FALSE,Calystegia stebbinsii,501
3678413,Calystegia subacaulis subsp. episcopalis Brummitt,Calystegia subacaulis episcopalis,SUBSPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Solanales,Convolvulaceae,Calystegia,Calystegia subacaulis,6,7707728,220,1176,2389,2928418,2928436,FALSE,Magnoliopsida,NA,FALSE,Calystegia subacaulis episcopalis,502
7789433,Calystegia vanzuukiae Brummitt & Namoff,Calystegia vanzuukiae,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Solanales,Convolvulaceae,Calystegia,Calystegia vanzuukiae,6,7707728,220,1176,2389,2928418,7789433,FALSE,Magnoliopsida,NA,FALSE,Calystegia vanzuukiae,503
3188992,Camissonia benitensis P.H.Raven,Camissonia benitensis,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Myrtales,Onagraceae,Camissonia,Camissonia benitensis,6,7707728,220,690,2430,3188931,3188992,FALSE,Magnoliopsida,NA,FALSE,Camissonia benitensis,504
3188954,Camissonia integrifolia P.H.Raven,Camissonia integrifolia,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Myrtales,Onagraceae,Camissonia,Camissonia integrifolia,6,7707728,220,690,2430,3188931,3188954,FALSE,Magnoliopsida,NA,FALSE,Camissonia integrifolia,505
3189013,Camissonia lacustris P.H.Raven,Camissonia lacustris,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Myrtales,Onagraceae,Camissonia,Camissonia lacustris,6,7707728,220,690,2430,3188931,3189013,FALSE,Magnoliopsida,NA,FALSE,Camissonia lacustris,506
3666789,Camissonia sierrae subsp. alticola P.H.Raven,Camissonia sierrae alticola,SUBSPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Myrtales,Onagraceae,Camissonia,Camissonia sierrae,6,7707728,220,690,2430,3188931,3188944,FALSE,Magnoliopsida,NA,FALSE,Camissonia sierrae alticola,507
3666654,Camissoniopsis guadalupensis subsp. clementina (P.H.Raven) W.L.Wagner & Hoch,Camissoniopsis guadalupensis clementina,SUBSPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Myrtales,Onagraceae,Camissoniopsis,Camissoniopsis guadalupensis,6,7707728,220,690,2430,7161653,7161660,FALSE,Magnoliopsida,NA,FALSE,Camissoniopsis guadalupensis clementina,508
3666652,Camissoniopsis hardhamiae (P.H.Raven) W.L.Wagner & Hoch,Camissoniopsis hardhamiae,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Myrtales,Onagraceae,Camissoniopsis,Camissoniopsis hardhamiae,6,7707728,220,690,2430,7161653,3666652,FALSE,Magnoliopsida,NA,FALSE,Camissoniopsis hardhamiae,509
5410679,Campanula shetleri Heckard,Campanula shetleri,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Asterales,Campanulaceae,Campanula,Campanula shetleri,6,7707728,220,414,8801,3161935,5410679,FALSE,Magnoliopsida,NA,FALSE,Campanula shetleri,510
6090709,"Campylorhynchus brunneicapillus sandiegensis Rea, 1986",Campylorhynchus brunneicapillus sandiegensis,SUBSPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Troglodytidae,Campylorhynchus,Campylorhynchus brunneicapillus,1,44,212,729,9355,2493929,5231474,FALSE,Aves,NA,FALSE,Campylorhynchus brunneicapillus sandiegensis,511
2888410,Canbya candida Parry ex A.Gray,Canbya candida,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Ranunculales,Papaveraceae,Canbya,Canbya candida,6,7707728,220,399,2422,2888409,2888410,FALSE,Magnoliopsida,NA,FALSE,Canbya candida,512
5219173,"Canis lupus Linnaeus, 1758",Canis lupus,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Carnivora,Canidae,Canis,Canis lupus,1,44,359,732,9701,5219142,5219173,FALSE,Mammalia,NA,FALSE,Canis lupus,513
5151990,"Capnia lacustra Jewett, 1965",Capnia lacustra,SPECIES,ACCEPTED,99,EXACT,Animalia,Arthropoda,Plecoptera,Capniidae,Capnia,Capnia lacustra,1,54,216,787,9386,2002304,5151990,FALSE,Insecta,NA,FALSE,Capnia lacustra,515
3045801,Cardamine angulata Hook.,Cardamine angulata,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Brassicales,Brassicaceae,Cardamine,Cardamine angulata,6,7707728,220,7225535,3112,3045622,3045801,FALSE,Magnoliopsida,NA,FALSE,Cardamine angulata,516
2490384,"Cardinalis cardinalis (Linnaeus, 1758)",Cardinalis cardinalis,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Passeriformes,Cardinalidae,Cardinalis,Cardinalis cardinalis,1,44,212,729,9285,3241527,2490384,FALSE,Aves,NA,FALSE,Cardinalis cardinalis,519
2722696,Carex arcta Boott,Carex arcta,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Poales,Cyperaceae,Carex,Carex arcta,6,7707728,196,1369,7708,2721893,2722696,FALSE,Liliopsida,NA,FALSE,Carex arcta,520
2725914,Carex atherodes Spreng.,Carex atherodes,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Poales,Cyperaceae,Carex,Carex atherodes,6,7707728,196,1369,7708,2721893,2725914,FALSE,Liliopsida,NA,FALSE,Carex atherodes,521
